Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=320.MNA.Q.N.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.V.N
,MNA.Q.N.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.V.N
,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro, Current prices, , Neither seasonally adjusted nor calendar adjusted"
Collection:,Summed through period (S)
Period\Unit:,[Millions of Euro]
,,obs. status
2023Q2,3540248.30,Normal value (A)
2023Q1,3444275.98,Normal value (A)
2022Q4,3532086.55,Normal value (A)
2022Q3,3367415.98,Normal value (A)
2022Q2,3330576.30,Normal value (A)
2022Q1,3197197.57,Normal value (A)
2021Q4,3295851.98,Normal value (A)
2021Q3,3142015.45,Normal value (A)
2021Q2,3058594.25,Normal value (A)
2021Q1,2921724.58,Normal value (A)
2020Q4,3054598.56,Normal value (A)
2020Q3,2924928.92,Normal value (A)
2020Q2,2645175.46,Normal value (A)
2020Q1,2890973.58,Normal value (A)
2019Q4,3123661.13,Normal value (A)
2019Q3,3010810.63,Normal value (A)
2019Q2,2996365.45,Normal value (A)
2019Q1,2911947.85,Normal value (A)
2018Q4,3033180.57,Normal value (A)
2018Q3,2897861.18,Normal value (A)
2018Q2,2905872.11,Normal value (A)
2018Q1,2815987.75,Normal value (A)
2017Q4,2939993.60,Normal value (A)
2017Q3,2813449.19,Normal value (A)
2017Q2,2803146.82,Normal value (A)
2017Q1,2718314.30,Normal value (A)
2016Q4,2819906.31,Normal value (A)
2016Q3,2705796.52,Normal value (A)
2016Q2,2718376.31,Normal value (A)
2016Q1,2620072.98,Normal value (A)
2015Q4,2750987.20,Normal value (A)
2015Q3,2642757.95,Normal value (A)
2015Q2,2629368.02,Normal value (A)
2015Q1,2545767.28,Normal value (A)
2014Q4,2649967.28,Normal value (A)
2014Q3,2551417.13,Normal value (A)
2014Q2,2540852.70,Normal value (A)
2014Q1,2471595.93,Normal value (A)
2013Q4,2584536.57,Normal value (A)
2013Q3,2495999.42,Normal value (A)
2013Q2,2493716.63,Normal value (A)
2013Q1,2406156.17,Normal value (A)
2012Q4,2545043.52,Normal value (A)
2012Q3,2456902.52,Normal value (A)
2012Q2,2465406.12,Normal value (A)
2012Q1,2414284.15,Normal value (A)
2011Q4,2540677.58,Normal value (A)
2011Q3,2449842.27,Normal value (A)
2011Q2,2463802.90,Normal value (A)
2011Q1,2388967.29,Normal value (A)
2010Q4,2505040.00,Normal value (A)
2010Q3,2387720.33,Normal value (A)
2010Q2,2391680.51,Normal value (A)
2010Q1,2294859.34,Normal value (A)
2009Q4,2428881.24,Normal value (A)
2009Q3,2311570.23,Normal value (A)
2009Q2,2320231.73,Normal value (A)
2009Q1,2257228.40,Normal value (A)
2008Q4,2464653.69,Normal value (A)
2008Q3,2400225.82,Normal value (A)
2008Q2,2446405.53,Normal value (A)
2008Q1,2357344.39,Normal value (A)
2007Q4,2477240.16,Normal value (A)
2007Q3,2335383.69,Normal value (A)
2007Q2,2350688.28,Normal value (A)
2007Q1,2267856.51,Normal value (A)
2006Q4,2356548.67,Normal value (A)
2006Q3,2211833.19,Normal value (A)
2006Q2,2226834.51,Normal value (A)
2006Q1,2138550.98,Normal value (A)
2005Q4,2228632.77,Normal value (A)
2005Q3,2102431.03,Normal value (A)
2005Q2,2123123.48,Normal value (A)
2005Q1,2027181.98,Normal value (A)
2004Q4,2144466.87,Normal value (A)
2004Q3,2030648.38,Normal value (A)
2004Q2,2044875.06,Normal value (A)
2004Q1,1967285.84,Normal value (A)
2003Q4,2061959.05,Normal value (A)
2003Q3,1954736.12,Normal value (A)
2003Q2,1948004.01,Normal value (A)
2003Q1,1886660.78,Normal value (A)
2002Q4,1996664.15,Normal value (A)
2002Q3,1900786.09,Normal value (A)
2002Q2,1900882.73,Normal value (A)
2002Q1,1831170.05,Normal value (A)
2001Q4,1934490.11,Normal value (A)
2001Q3,1826233.65,Normal value (A)
2001Q2,1835254.00,Normal value (A)
2001Q1,1781748.88,Normal value (A)
2000Q4,1853837.36,Normal value (A)
2000Q3,1747507.95,Normal value (A)
2000Q2,1751118.76,Normal value (A)
2000Q1,1693686.42,Normal value (A)
1999Q4,1771716.56,Normal value (A)
1999Q3,1662868.42,Normal value (A)
1999Q2,1660108.17,Normal value (A)
1999Q1,1598936.38,Normal value (A)
1998Q4,1689972.54,Normal value (A)
1998Q3,1591524.31,Normal value (A)
1998Q2,1589417.12,Normal value (A)
1998Q1,1531597.36,Normal value (A)
1997Q4,1625183.17,Normal value (A)
1997Q3,1526945.74,Normal value (A)
1997Q2,1534639.88,Normal value (A)
1997Q1,1463865.96,Normal value (A)
1996Q4,1569401.21,Normal value (A)
1996Q3,1494488.24,Normal value (A)
1996Q2,1495130.05,Normal value (A)
1996Q1,1444952.21,Normal value (A)
1995Q4,1517731.33,Normal value (A)
1995Q3,1431665.24,Normal value (A)
1995Q2,1428634.26,Normal value (A)
1995Q1,1380494.80,Normal value (A)
