Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=325.GFS.Q.N.I9.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T
,GFS.Q.N.I9.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T
,"Euro area 20 (fixed composition) as of 1 January 2023 - Closing balance sheet/Positions/Stocks - Maastricht debt - Liabilities (Net Incurrence of) - maturity: All original maturities - counterpart area: World (all entities, including reference area, including IO), counterpart sector: Total economy - Consolidated, Current prices, Face value - Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted - ESA 2010"
Collection:,End of period (E)
Period\Unit:,[Domestic currency ]
,,obs. status
2023Q1,91.230,Normal value (A)
2022Q4,91.358,Normal value (A)
2022Q3,92.703,Normal value (A)
2022Q2,93.972,Normal value (A)
2022Q1,95.044,Normal value (A)
2021Q4,95.260,Normal value (A)
2021Q3,97.188,Normal value (A)
2021Q2,97.867,Normal value (A)
2021Q1,99.640,Normal value (A)
2020Q4,97.147,Normal value (A)
2020Q3,96.810,Normal value (A)
2020Q2,94.637,Normal value (A)
2020Q1,86.124,Normal value (A)
2019Q4,84.047,Normal value (A)
2019Q3,85.864,Normal value (A)
2019Q2,86.335,Normal value (A)
2019Q1,86.548,Normal value (A)
2018Q4,86.071,Normal value (A)
2018Q3,87.367,Normal value (A)
2018Q2,87.531,Normal value (A)
2018Q1,88.039,Normal value (A)
2017Q4,88.059,Normal value (A)
2017Q3,89.552,Normal value (A)
2017Q2,90.484,Normal value (A)
2017Q1,90.618,Normal value (A)
2016Q4,90.411,Normal value (A)
2016Q3,91.255,Normal value (A)
2016Q2,92.357,Normal value (A)
2016Q1,92.455,Normal value (A)
2015Q4,91.264,Normal value (A)
2015Q3,92.412,Normal value (A)
2015Q2,93.168,Normal value (A)
2015Q1,93.896,Normal value (A)
2014Q4,93.158,Normal value (A)
2014Q3,93.590,Normal value (A)
2014Q2,94.363,Normal value (A)
2014Q1,93.857,Normal value (A)
2013Q4,92.984,Normal value (A)
2013Q3,93.156,Normal value (A)
2013Q2,93.864,Normal value (A)
2013Q1,92.909,Normal value (A)
2012Q4,90.955,Normal value (A)
2012Q3,90.007,Normal value (A)
2012Q2,89.947,Normal value (A)
2012Q1,88.340,Normal value (A)
2011Q4,87.523,Normal value (A)
2011Q3,86.995,Normal value (A)
2011Q2,87.065,Normal value (A)
2011Q1,86.300,Normal value (A)
2010Q4,85.601,Normal value (A)
2010Q3,83.248,Normal value (A)
2010Q2,83.153,Normal value (A)
2010Q1,81.871,Normal value (A)
2009Q4,80.177,Normal value (A)
2009Q3,79.078,Normal value (A)
2009Q2,77.008,Normal value (A)
2009Q1,73.577,Normal value (A)
2008Q4,69.584,Normal value (A)
2008Q3,67.110,Normal value (A)
2008Q2,67.063,Normal value (A)
2008Q1,66.765,Normal value (A)
2007Q4,65.918,Normal value (A)
2007Q3,67.576,Normal value (A)
2007Q2,68.570,Normal value (A)
2007Q1,68.542,Normal value (A)
2006Q4,68.324,Normal value (A)
2006Q3,69.885,Normal value (A)
2006Q2,70.441,Normal value (A)
2006Q1,70.632,Normal value (A)
2005Q4,70.329,Normal value (A)
2005Q3,71.154,Normal value (A)
2005Q2,71.631,Normal value (A)
2005Q1,70.985,Normal value (A)
2004Q4,69.624,Normal value (A)
2004Q3,71.046,Normal value (A)
2004Q2,71.263,Normal value (A)
2004Q1,70.627,Normal value (A)
2003Q4,69.311,Normal value (A)
2003Q3,70.072,Normal value (A)
2003Q2,69.862,Normal value (A)
2003Q1,69.206,Normal value (A)
2002Q4,67.998,Normal value (A)
2002Q3,68.622,Normal value (A)
2002Q2,68.918,Normal value (A)
2002Q1,68.894,Normal value (A)
2001Q4,68.064,Normal value (A)
2001Q3,68.434,Normal value (A)
2001Q2,68.905,Normal value (A)
2001Q1,68.785,Normal value (A)
2000Q4,69.070,Normal value (A)
2000Q3,70.470,Normal value (A)
2000Q2,70.925,Normal value (A)
2000Q1,71.460,Normal value (A)
