Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=325.GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T
,GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T
,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending (pos) / net borrowing (neg) - Balance (Credits minus Debits) - counterpart area: World (all entities, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted - ESA 2010"
Collection:,Summed through period (S)
Period\Unit:,[Domestic currency ]
,,obs. status
2023Q1,-3.709,Provisional value (P)
2022Q4,-3.647,Provisional value (P)
2022Q3,-3.300,Provisional value (P)
2022Q2,-3.202,Provisional value (P)
2022Q1,-4.231,Provisional value (P)
2021Q4,-5.318,Provisional value (P)
2021Q3,-6.279,Provisional value (P)
2021Q2,-6.902,Provisional value (P)
2021Q1,-8.167,Provisional value (P)
2020Q4,-7.063,Provisional value (P)
2020Q3,-5.250,Provisional value (P)
2020Q2,-3.911,Provisional value (P)
2020Q1,-1.222,Provisional value (P)
2019Q4,-0.638,Provisional value (P)
2019Q3,-0.765,Provisional value (P)
2019Q2,-0.616,Provisional value (P)
2019Q1,-0.512,Provisional value (P)
2018Q4,-0.428,Normal value (A)
2018Q3,-0.317,Normal value (A)
2018Q2,-0.412,Normal value (A)
2018Q1,-0.729,Normal value (A)
2017Q4,-0.929,Normal value (A)
2017Q3,-1.039,Normal value (A)
2017Q2,-1.256,Normal value (A)
2017Q1,-1.282,Normal value (A)
2016Q4,-1.468,Normal value (A)
2016Q3,-1.674,Normal value (A)
2016Q2,-1.669,Normal value (A)
2016Q1,-1.835,Normal value (A)
2015Q4,-1.993,Normal value (A)
2015Q3,-2.106,Normal value (A)
2015Q2,-2.340,Normal value (A)
2015Q1,-2.408,Normal value (A)
2014Q4,-2.500,Normal value (A)
2014Q3,-2.572,Normal value (A)
2014Q2,-2.691,Normal value (A)
2014Q1,-2.824,Normal value (A)
2013Q4,-3.082,Normal value (A)
2013Q3,-3.519,Normal value (A)
2013Q2,-3.610,Normal value (A)
2013Q1,-3.846,Normal value (A)
2012Q4,-3.810,Normal value (A)
2012Q3,-3.894,Normal value (A)
2012Q2,-4.077,Normal value (A)
2012Q1,-4.142,Normal value (A)
2011Q4,-4.262,Normal value (A)
2011Q3,-4.529,Normal value (A)
2011Q2,-5.264,Normal value (A)
2011Q1,-5.609,Normal value (A)
2010Q4,-6.282,Normal value (A)
2010Q3,-6.588,Normal value (A)
2010Q2,-6.463,Normal value (A)
2010Q1,-6.647,Normal value (A)
2009Q4,-6.246,Normal value (A)
2009Q3,-5.315,Normal value (A)
2009Q2,-4.156,Normal value (A)
2009Q1,-2.962,Normal value (A)
2008Q4,-2.162,Normal value (A)
2008Q3,-1.409,Normal value (A)
2008Q2,-1.082,Normal value (A)
2008Q1,-0.750,Normal value (A)
2007Q4,-0.653,Normal value (A)
2007Q3,-0.868,Normal value (A)
2007Q2,-1.084,Normal value (A)
2007Q1,-1.350,Normal value (A)
2006Q4,-1.519,Normal value (A)
2006Q3,-1.659,Normal value (A)
2006Q2,-1.849,Normal value (A)
2006Q1,-2.233,Normal value (A)
2005Q4,-2.598,Normal value (A)
2005Q3,-2.675,Normal value (A)
2005Q2,-2.895,Normal value (A)
2005Q1,-2.866,Normal value (A)
2004Q4,-2.876,Normal value (A)
2004Q3,-2.968,Normal value (A)
2004Q2,-3.153,Normal value (A)
2004Q1,-3.123,Normal value (A)
2003Q4,-3.095,Normal value (A)
2003Q3,-3.143,Normal value (A)
2003Q2,-2.886,Normal value (A)
2003Q1,-2.817,Normal value (A)
2002Q4,-2.673,Normal value (A)
