Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=143.FM.B.U2.EUR.4F.KR.MLFR.LEV
,FM.B.U2.EUR.4F.KR.MLFR.LEV
,"Euro area (changing composition) - Key interest rate - ECB Marginal lending facility - date of changes (raw data) - Level - Euro, source: ECB"
Collection:,End of period (E)
Period\Unit:,[Percent per annum ]
,,obs. status
2023-09-20,4.7500,Normal value (A)
2023-08-02,4.5000,Normal value (A)
2023-06-21,4.2500,Normal value (A)
2023-05-10,4.0000,Normal value (A)
2023-03-22,3.7500,Normal value (A)
2023-02-08,3.2500,Normal value (A)
2022-12-21,2.7500,Normal value (A)
2022-11-02,2.2500,Normal value (A)
2022-09-14,1.5000,Normal value (A)
2022-07-27,0.7500,Normal value (A)
2019-09-18,0.2500,Normal value (A)
2016-03-16,0.2500,Normal value (A)
2015-12-09,0.3000,Normal value (A)
2014-09-10,0.3000,Normal value (A)
2014-06-11,0.4000,Normal value (A)
2013-11-13,0.7500,Normal value (A)
2013-05-08,1.0000,Normal value (A)
2012-07-11,1.5000,Normal value (A)
2011-12-14,1.7500,Normal value (A)
2011-11-09,2.0000,Normal value (A)
2011-07-13,2.2500,Normal value (A)
2011-04-13,2.0000,Normal value (A)
2009-05-13,1.7500,Normal value (A)
2009-04-08,2.2500,Normal value (A)
2009-03-11,2.5000,Normal value (A)
2009-01-21,3.0000,Normal value (A)
2008-12-10,3.0000,Normal value (A)
2008-11-12,3.7500,Normal value (A)
2008-10-15,4.2500,Normal value (A)
2008-10-09,4.2500,Normal value (A)
2008-10-08,4.7500,Normal value (A)
2008-07-09,5.2500,Normal value (A)
2007-06-13,5.0000,Normal value (A)
2007-03-14,4.7500,Normal value (A)
2006-12-13,4.5000,Normal value (A)
2006-10-11,4.2500,Normal value (A)
2006-08-09,4.0000,Normal value (A)
2006-06-15,3.7500,Normal value (A)
2006-03-08,3.5000,Normal value (A)
2005-12-06,3.2500,Normal value (A)
2003-06-06,3.0000,Normal value (A)
2003-03-07,3.5000,Normal value (A)
2002-12-06,3.7500,Normal value (A)
2001-11-09,4.2500,Normal value (A)
2001-09-18,4.7500,Normal value (A)
2001-08-31,5.2500,Normal value (A)
2001-05-11,5.5000,Normal value (A)
2000-10-06,5.7500,Normal value (A)
2000-09-01,5.5000,Normal value (A)
2000-06-28,5.2500,Normal value (A)
2000-06-09,5.2500,Normal value (A)
2000-04-28,4.7500,Normal value (A)
2000-03-17,4.5000,Normal value (A)
2000-02-04,4.2500,Normal value (A)
1999-11-05,4.0000,Normal value (A)
1999-04-09,3.5000,Normal value (A)
1999-01-22,4.5000,Normal value (A)
1999-01-04,3.2500,Normal value (A)
1999-01-01,4.5000,Normal value (A)
