Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=117.BSI.M.U2.Y.V.M30.X.I.U2.2300.Z01.A
,BSI.M.U2.Y.V.M30.X.I.U2.2300.Z01.A
,"Euro area (changing composition), Index of Notional Stocks, MFIs, central government and post office giro institutions reporting sector - Monetary aggregate M3, All currencies combined - Euro area (changing composition) counterpart, Non-MFIs excluding central government sector, Annual growth rate, data Working day and seasonally adjusted"
Collection:,End of period (E)
Period\Unit:,[Percentage change ]
,,obs. status
2023Jul,-0.4,Provisional value (P)
2023Jun,0.6,Normal value (A)
2023May,0.9,Normal value (A)
2023Apr,1.4,Normal value (A)
2023Mar,2.1,Normal value (A)
2023Feb,2.6,Normal value (A)
2023Jan,3.1,Normal value (A)
2022Dec,3.8,Normal value (A)
2022Nov,4.6,Normal value (A)
2022Oct,4.9,Normal value (A)
2022Sep,6.0,Normal value (A)
2022Aug,6.2,Normal value (A)
2022Jul,5.9,Normal value (A)
2022Jun,6.0,Normal value (A)
2022May,6.1,Normal value (A)
2022Apr,6.4,Normal value (A)
2022Mar,6.5,Normal value (A)
2022Feb,6.5,Normal value (A)
2022Jan,6.7,Normal value (A)
2021Dec,7.0,Normal value (A)
2021Nov,7.5,Normal value (A)
2021Oct,7.9,Normal value (A)
2021Sep,7.8,Normal value (A)
2021Aug,8.3,Normal value (A)
2021Jul,8.0,Normal value (A)
2021Jun,8.5,Normal value (A)
2021May,8.7,Normal value (A)
2021Apr,9.4,Normal value (A)
2021Mar,10.1,Normal value (A)
2021Feb,12.4,Normal value (A)
2021Jan,12.6,Normal value (A)
2020Dec,12.3,Normal value (A)
2020Nov,11.0,Normal value (A)
2020Oct,10.5,Normal value (A)
2020Sep,10.2,Normal value (A)
2020Aug,9.5,Normal value (A)
2020Jul,10.1,Normal value (A)
2020Jun,9.2,Normal value (A)
2020May,8.9,Normal value (A)
2020Apr,8.1,Normal value (A)
2020Mar,7.5,Normal value (A)
2020Feb,5.4,Normal value (A)
2020Jan,5.2,Normal value (A)
2019Dec,4.9,Normal value (A)
2019Nov,5.6,Normal value (A)
2019Oct,5.7,Normal value (A)
2019Sep,5.7,Normal value (A)
2019Aug,5.8,Normal value (A)
2019Jul,5.2,Normal value (A)
2019Jun,4.7,Normal value (A)
2019May,4.9,Normal value (A)
2019Apr,4.9,Normal value (A)
