Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=390.ENA.A.N.I9.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,ENA.A.N.I9.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,"Total population - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Total economy, Persons, Not applicable, Non transformed data, Neither seasonally adjusted nor calendar adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands of Persons]
,,obs. status
2022,348458.70,Normal value (A)
2021,347049.44,Normal value (A)
2020,347041.32,Normal value (A)
2019,346501.53,Normal value (A)
2018,345471.12,Normal value (A)
2017,344619.92,Normal value (A)
2016,343894.36,Normal value (A)
2015,342858.12,Normal value (A)
2014,341901.74,Normal value (A)
2013,341314.69,Normal value (A)
2012,340788.37,Normal value (A)
2011,340054.06,Normal value (A)
2010,339221.07,Normal value (A)
2009,338443.86,Normal value (A)
2008,337380.71,Normal value (A)
2007,335728.74,Normal value (A)
2006,333964.38,Normal value (A)
2005,332483.13,Normal value (A)
2004,330727.38,Normal value (A)
2003,329024.36,Normal value (A)
2002,327273.76,Normal value (A)
2001,325672.39,Normal value (A)
2000,324768.95,Normal value (A)
1999,323816.41,Normal value (A)
1998,323125.26,Normal value (A)
1997,322531.98,Normal value (A)
1996,321882.37,Normal value (A)
1995,321215.41,Normal value (A)
