Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=388.LFSI.M.I9.S.UNEHRT.TOTAL0.15_74.T
,LFSI.M.I9.S.UNEHRT.TOTAL0.15_74.T
,"Euro area 20 (fixed composition) as of 1 January 2023; European Labour Force Survey; Unemployment rate; Total; Age 15 to 74; Total; Seasonally adjusted, not working day adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Percent ]
,,obs. status
2023Jul,6.442155,Normal value (A)
2023Jun,6.398429,Normal value (A)
2023May,6.457138,Normal value (A)
2023Apr,6.506614,Normal value (A)
2023Mar,6.532680,Normal value (A)
2023Feb,6.600316,Normal value (A)
2023Jan,6.655005,Normal value (A)
2022Dec,6.662608,Normal value (A)
2022Nov,6.682616,Normal value (A)
2022Oct,6.657602,Normal value (A)
2022Sep,6.690009,Normal value (A)
2022Aug,6.703199,Normal value (A)
2022Jul,6.670093,Normal value (A)
2022Jun,6.710459,Normal value (A)
2022May,6.699134,Normal value (A)
2022Apr,6.733058,Normal value (A)
2022Mar,6.791522,Normal value (A)
2022Feb,6.825132,Normal value (A)
2022Jan,6.908154,Normal value (A)
2021Dec,6.995445,Normal value (A)
2021Nov,7.090705,Normal value (A)
2021Oct,7.246270,Normal value (A)
2021Sep,7.343847,Normal value (A)
2021Aug,7.525113,Normal value (A)
2021Jul,7.677659,Normal value (A)
2021Jun,7.858687,Normal value (A)
2021May,8.056071,Normal value (A)
2021Apr,8.231063,Normal value (A)
2021Mar,8.169051,Normal value (A)
2021Feb,8.219839,Normal value (A)
2021Jan,8.247070,Normal value (A)
2020Dec,8.200958,Normal value (A)
2020Nov,8.201416,Normal value (A)
2020Oct,8.382986,Normal value (A)
2020Sep,8.559293,Normal value (A)
2020Aug,8.584701,Normal value (A)
2020Jul,8.461684,Normal value (A)
2020Jun,8.079049,Normal value (A)
2020May,7.626791,Normal value (A)
2020Apr,7.400125,Normal value (A)
2020Mar,7.195802,Normal value (A)
2020Feb,7.344569,Normal value (A)
2020Jan,7.478141,Normal value (A)
2019Dec,7.483818,Normal value (A)
2019Nov,7.476595,Normal value (A)
2019Oct,7.441244,Normal value (A)
2019Sep,7.461332,Normal value (A)
2019Aug,7.457029,Normal value (A)
2019Jul,7.520472,Normal value (A)
2019Jun,7.534246,Normal value (A)
2019May,7.628160,Normal value (A)
2019Apr,7.706292,Normal value (A)
2019Mar,7.736683,Normal value (A)
2019Feb,7.830023,Normal value (A)
2019Jan,7.855385,Normal value (A)
2018Dec,7.870824,Normal value (A)
2018Nov,7.941251,Normal value (A)
2018Oct,8.036288,Normal value (A)
2018Sep,7.993942,Normal value (A)
2018Aug,8.025688,Normal value (A)
2018Jul,8.110713,Normal value (A)
2018Jun,8.240841,Normal value (A)
2018May,8.296311,Normal value (A)
2018Apr,8.441274,Normal value (A)
2018Mar,8.531474,Normal value (A)
2018Feb,8.606760,Normal value (A)
2018Jan,8.707543,Normal value (A)
2017Dec,8.720593,Normal value (A)
2017Nov,8.756906,Normal value (A)
2017Oct,8.819689,Normal value (A)
2017Sep,8.926372,Normal value (A)
2017Aug,9.007460,Normal value (A)
2017Jul,9.092694,Normal value (A)
2017Jun,9.112189,Normal value (A)
2017May,9.259438,Normal value (A)
2017Apr,9.300699,Normal value (A)
2017Mar,9.484812,Normal value (A)
2017Feb,9.560839,Normal value (A)
2017Jan,9.654443,Normal value (A)
2016Dec,9.738804,Normal value (A)
2016Nov,9.879827,Normal value (A)
2016Oct,9.852936,Normal value (A)
2016Sep,9.924105,Normal value (A)
2016Aug,9.964793,Normal value (A)
2016Jul,10.028814,Normal value (A)
2016Jun,10.167466,Normal value (A)
2016May,10.226970,Normal value (A)
2016Apr,10.304672,Normal value (A)
2016Mar,10.339634,Normal value (A)
2016Feb,10.465957,Normal value (A)
2016Jan,10.484872,Normal value (A)
2015Dec,10.580724,Normal value (A)
2015Nov,10.612171,Normal value (A)
2015Oct,10.720989,Normal value (A)
2015Sep,10.719435,Normal value (A)
2015Aug,10.752305,Normal value (A)
2015Jul,10.843525,Normal value (A)
2015Jun,11.069784,Normal value (A)
2015May,11.129607,Normal value (A)
2015Apr,11.188037,Normal value (A)
2015Mar,11.309089,Normal value (A)
2015Feb,11.345637,Normal value (A)
2015Jan,11.393795,Normal value (A)
2014Dec,11.471022,Normal value (A)
2014Nov,11.638376,Normal value (A)
2014Oct,11.621630,Normal value (A)
2014Sep,11.605390,Normal value (A)
2014Aug,11.543887,Normal value (A)
2014Jul,11.662852,Normal value (A)
2014Jun,11.624639,Normal value (A)
2014May,11.758934,Normal value (A)
2014Apr,11.816142,Normal value (A)
2014Mar,11.947979,Normal value (A)
2014Feb,12.012328,Normal value (A)
2014Jan,12.054865,Normal value (A)
2013Dec,11.997912,Normal value (A)
2013Nov,12.063310,Normal value (A)
2013Oct,12.069796,Normal value (A)
2013Sep,12.130315,Normal value (A)
2013Aug,12.092561,Normal value (A)
2013Jul,12.128597,Normal value (A)
2013Jun,12.161531,Normal value (A)
2013May,12.214290,Normal value (A)
2013Apr,12.238910,Normal value (A)
2013Mar,12.236081,Normal value (A)
2013Feb,12.230545,Normal value (A)
2013Jan,12.216340,Normal value (A)
2012Dec,12.030812,Normal value (A)
2012Nov,11.987330,Normal value (A)
2012Oct,11.868956,Normal value (A)
2012Sep,11.712759,Normal value (A)
2012Aug,11.603399,Normal value (A)
2012Jul,11.550050,Normal value (A)
2012Jun,11.481870,Normal value (A)
2012May,11.398065,Normal value (A)
2012Apr,11.318547,Normal value (A)
2012Mar,11.206522,Normal value (A)
2012Feb,11.037208,Normal value (A)
2012Jan,10.876425,Normal value (A)
2011Dec,10.830554,Normal value (A)
2011Nov,10.712265,Normal value (A)
2011Oct,10.573100,Normal value (A)
2011Sep,10.474812,Normal value (A)
2011Aug,10.322815,Normal value (A)
2011Jul,10.239040,Normal value (A)
2011Jun,10.129889,Normal value (A)
2011May,10.088946,Normal value (A)
2011Apr,10.030495,Normal value (A)
2011Mar,10.100522,Normal value (A)
2011Feb,10.125001,Normal value (A)
2011Jan,10.154111,Normal value (A)
2010Dec,10.190670,Normal value (A)
2010Nov,10.200365,Normal value (A)
2010Oct,10.258449,Normal value (A)
2010Sep,10.235691,Normal value (A)
2010Aug,10.222313,Normal value (A)
2010Jul,10.249922,Normal value (A)
2010Jun,10.316986,Normal value (A)
2010May,10.344416,Normal value (A)
2010Apr,10.352542,Normal value (A)
2010Mar,10.283382,Normal value (A)
2010Feb,10.281088,Normal value (A)
2010Jan,10.237127,Normal value (A)
2009Dec,10.164206,Normal value (A)
2009Nov,10.142639,Normal value (A)
2009Oct,10.071783,Normal value (A)
2009Sep,10.005825,Normal value (A)
2009Aug,9.857146,Normal value (A)
2009Jul,9.786914,Normal value (A)
2009Jun,9.700094,Normal value (A)
2009May,9.617992,Normal value (A)
2009Apr,9.508751,Normal value (A)
2009Mar,9.346116,Normal value (A)
2009Feb,9.053826,Normal value (A)
2009Jan,8.752155,Normal value (A)
2008Dec,8.353166,Normal value (A)
2008Nov,8.113663,Normal value (A)
2008Oct,7.890926,Normal value (A)
2008Sep,7.752101,Normal value (A)
2008Aug,7.679344,Normal value (A)
2008Jul,7.581970,Normal value (A)
2008Jun,7.582117,Normal value (A)
2008May,7.505804,Normal value (A)
2008Apr,7.452019,Normal value (A)
2008Mar,7.345969,Normal value (A)
2008Feb,7.377356,Normal value (A)
2008Jan,7.415726,Normal value (A)
2007Dec,7.433338,Normal value (A)
2007Nov,7.433905,Normal value (A)
2007Oct,7.476205,Normal value (A)
2007Sep,7.525592,Normal value (A)
2007Aug,7.590462,Normal value (A)
2007Jul,7.631128,Normal value (A)
2007Jun,7.585947,Normal value (A)
2007May,7.672550,Normal value (A)
2007Apr,7.692883,Normal value (A)
2007Mar,7.816356,Normal value (A)
2007Feb,7.919205,Normal value (A)
2007Jan,7.997808,Normal value (A)
2006Dec,8.037328,Normal value (A)
2006Nov,8.157841,Normal value (A)
2006Oct,8.246114,Normal value (A)
2006Sep,8.313304,Normal value (A)
2006Aug,8.387224,Normal value (A)
2006Jul,8.428129,Normal value (A)
2006Jun,8.502041,Normal value (A)
2006May,8.615930,Normal value (A)
2006Apr,8.704939,Normal value (A)
2006Mar,8.818032,Normal value (A)
2006Feb,8.918115,Normal value (A)
2006Jan,8.968091,Normal value (A)
2005Dec,9.047195,Normal value (A)
2005Nov,9.109756,Normal value (A)
2005Oct,9.169926,Normal value (A)
2005Sep,9.188392,Normal value (A)
2005Aug,9.169187,Normal value (A)
2005Jul,9.235703,Normal value (A)
2005Jun,9.314697,Normal value (A)
2005May,9.309472,Normal value (A)
2005Apr,9.362994,Normal value (A)
2005Mar,9.285678,Normal value (A)
2005Feb,9.293914,Normal value (A)
2005Jan,9.297408,Normal value (A)
2004Dec,9.355280,Normal value (A)
2004Nov,9.425528,Normal value (A)
2004Oct,9.426022,Normal value (A)
2004Sep,9.433287,Normal value (A)
2004Aug,9.375829,Normal value (A)
2004Jul,9.358161,Normal value (A)
2004Jun,9.360238,Normal value (A)
2004May,9.394305,Normal value (A)
2004Apr,9.416711,Normal value (A)
2004Mar,9.444713,Normal value (A)
2004Feb,9.398054,Normal value (A)
2004Jan,9.384578,Normal value (A)
2003Dec,9.292052,Normal value (A)
2003Nov,9.216687,Normal value (A)
2003Oct,9.202917,Normal value (A)
2003Sep,9.205294,Normal value (A)
2003Aug,9.173725,Normal value (A)
2003Jul,9.203553,Normal value (A)
2003Jun,9.234214,Normal value (A)
2003May,9.181014,Normal value (A)
2003Apr,9.167560,Normal value (A)
2003Mar,9.172298,Normal value (A)
2003Feb,9.114623,Normal value (A)
2003Jan,9.088088,Normal value (A)
2002Dec,9.014311,Normal value (A)
2002Nov,8.943234,Normal value (A)
2002Oct,8.891290,Normal value (A)
2002Sep,8.855979,Normal value (A)
2002Aug,8.814606,Normal value (A)
2002Jul,8.772088,Normal value (A)
2002Jun,8.700576,Normal value (A)
2002May,8.665738,Normal value (A)
2002Apr,8.636431,Normal value (A)
2002Mar,8.576426,Normal value (A)
2002Feb,8.605298,Normal value (A)
2002Jan,8.560905,Normal value (A)
2001Dec,8.570405,Normal value (A)
2001Nov,8.558593,Normal value (A)
2001Oct,8.525453,Normal value (A)
2001Sep,8.498882,Normal value (A)
2001Aug,8.473780,Normal value (A)
2001Jul,8.455138,Normal value (A)
2001Jun,8.461503,Normal value (A)
2001May,8.486905,Normal value (A)
2001Apr,8.469301,Normal value (A)
